date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:11:44	20311/20311	---M--	200	added ('OK')	image/png	etag:%224f57-5846cb5f31b40%22	http://demo4.sxzywl.net/upload/portal/20180704/475551e97508c03d402cbef962728586.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/upload/portal/20180704/475551e97508c03d402cbef962728586.png	(from http://demo4.sxzywl.net/portal/list/center/id/1.html?tid=8)
14:11:45	23171/23171	---M--	200	added ('OK')	image/png	etag:%225a83-5846cb5f3cef0%22	http://demo4.sxzywl.net/upload/portal/20180704/a297baa7791addc66f4e6c33751efe24.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/upload/portal/20180704/a297baa7791addc66f4e6c33751efe24.png	(from http://demo4.sxzywl.net/portal/list/center/id/1.html?tid=8)
14:11:46	12680/12680	---M--	200	added ('OK')	image/png	etag:%223188-5846cb5f2c168%22	http://demo4.sxzywl.net/upload/portal/20180704/216d8bab2c4f591b0ce01983e90929f6.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/upload/portal/20180704/216d8bab2c4f591b0ce01983e90929f6.png	(from http://demo4.sxzywl.net/portal/list/center/id/1.html?tid=8)
14:11:48	10955/10955	---M--	200	added ('OK')	image/png	etag:%222acb-5846cb5f3ea48%22	http://demo4.sxzywl.net/upload/portal/20180704/a64ce4623b9095ef504edcf28fa99350.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/upload/portal/20180704/a64ce4623b9095ef504edcf28fa99350.png	(from http://demo4.sxzywl.net/portal/list/center/id/1.html?tid=8)
14:11:48	19597/19597	---M--	200	added ('OK')	image/png	etag:%224c8d-5846cb5f37900%22	http://demo4.sxzywl.net/upload/portal/20180704/9a4d6074a40f73f3bcb17545032ac851.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/upload/portal/20180704/9a4d6074a40f73f3bcb17545032ac851.png	(from http://demo4.sxzywl.net/portal/list/center/id/1.html?tid=8)
14:11:49	14232/14232	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202019%2006:09:14%20GMT	http://demo4.sxzywl.net/portal/list/center?ye=1&tid=8&id=1	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/centerb400.html	(from http://demo4.sxzywl.net/portal/list/center/id/1.html?tid=8)
14:11:49	13007/13007	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202019%2006:09:14%20GMT	http://demo4.sxzywl.net/portal/list/center?ye=2&tid=8&id=1	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/center6bb6.html	(from http://demo4.sxzywl.net/portal/list/center/id/1.html?tid=8)
14:11:49	936/936	---M-Z	404	error ('Not%20Found')	text/html	etag:%223a8-5858ebc722240-gzip%22	https://demo4.sxzywl.net/portal/list/center/id/www.zoyuan.net	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/center/id/www.zoyuan.8a.delayed	(from http://demo4.sxzywl.net/portal/list/center/id/1.html?tid=8)
14:11:50	936/936	---M-Z	404	error ('Not%20Found')	text/html	etag:%223a8-5858ebc722240-gzip%22	https://demo4.sxzywl.net/portal/list/invite/id/www.zoyuan.net	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/invite/id/www.zoyuan.8c.delayed	(from http://demo4.sxzywl.net/portal/list/invite/id/16.html?tid=10)
14:11:51	936/936	---M-Z	404	error ('Not%20Found')	text/html	etag:%223a8-5858ebc722240-gzip%22	https://demo4.sxzywl.net/portal/list/touch/id/www.zoyuan.net	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/touch/id/www.zoyuan.8d.delayed	(from http://demo4.sxzywl.net/portal/list/touch/id/2.html?tid=11)
